,Group.1,Group.2,Group.3,x
587,4,1991,GROO,16.38
588,5,1991,GROO,18.12
589,6,1991,GROO,21.25
590,7,1991,GROO,15.7
591,8,1991,GROO,21.36
592,9,1991,GROO,24.31
593,10,1991,GROO,21.09
594,11,1991,GROO,14.02
595,12,1991,GROO,14.54
596,1,1992,GROO,6.05
597,2,1992,GROO,13.83
598,3,1992,GROO,8.41
599,4,1992,GROO,12.59
600,5,1992,GROO,14.26
601,6,1992,GROO,18.924999999999997
602,7,1992,GROO,22.564999999999998
603,8,1992,GROO,26.31
604,9,1992,GROO,22.39
605,10,1992,GROO,22.2
606,11,1992,GROO,20.32
607,12,1992,GROO,10.0
608,1,1993,GROO,11.74
609,2,1993,GROO,6.37
610,3,1993,GROO,4.56
611,4,1993,GROO,12.280000000000001
612,5,1993,GROO,14.655
613,6,1993,GROO,19.8
614,7,1993,GROO,19.576666666666668
615,8,1993,GROO,13.93
616,9,1993,GROO,5.039999999999999
617,10,1993,GROO,5.08
618,11,1993,GROO,8.55
619,12,1993,GROO,5.02
620,1,1994,GROO,5.27
621,3,1994,GROO,7.045
622,4,1994,GROO,5.34
623,5,1994,GROO,11.235
624,6,1994,GROO,13.91
625,7,1994,GROO,15.685
626,8,1994,GROO,20.689999999999998
627,9,1994,GROO,21.18
628,10,1994,GROO,15.0
629,11,1994,GROO,8.74
630,12,1994,GROO,2.99
631,1,1995,GROO,6.72
632,2,1995,GROO,3.71
633,3,1995,GROO,8.21
634,4,1995,GROO,6.63
635,5,1995,GROO,9.57
636,6,1995,GROO,15.47
637,7,1995,GROO,16.5
638,8,1995,GROO,19.85
639,9,1995,GROO,19.94
640,10,1995,GROO,17.51
641,11,1995,GROO,20.13
642,12,1995,GROO,12.84
643,1,1996,GROO,15.83
644,2,1996,GROO,14.75
645,4,1996,GROO,14.36
646,5,1996,GROO,18.81
647,6,1996,GROO,21.384999999999998
648,7,1996,GROO,22.795
649,8,1996,GROO,23.46
650,9,1996,GROO,18.295
651,10,1996,GROO,20.11
652,11,1996,GROO,13.47
653,12,1996,GROO,10.26
654,2,1997,GROO,14.605
655,3,1997,GROO,10.5
656,4,1997,GROO,13.1
657,5,1997,GROO,13.74
658,6,1997,GROO,16.4
659,7,1997,GROO,17.566666666666666
660,8,1997,GROO,20.25
661,9,1997,GROO,22.0
662,10,1997,GROO,24.1
663,11,1997,GROO,NaN
664,12,1997,GROO,19.6
665,1,1998,GROO,9.81
666,2,1998,GROO,13.71
667,3,1998,GROO,8.825
668,4,1998,GROO,11.015
669,5,1998,GROO,13.55
670,6,1998,GROO,15.13
671,7,1998,GROO,15.030000000000001
